Country,Features,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Nigeria,net generation,Africa,14.144,14.844,20.676,19.358,23.237,22.528,22.049,21.92394,20.14266,18.83012,24.88718,25.72094,27.30318,27.45858,30.6099,30.80597,32.00501,32.78739,31.85828,31.647071,29.73432393,31.45787819
        Reunion,net generation,Africa,1.941,2.098,2.076,2.165,2.389,2.499,2.534,2.586,2.688,2.779,2.85,2.893,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Rwanda,net generation,Africa,0.114,0.09125,0.0996875,0.12,0.092,0.113,0.161,0.1592,0.1842,0.2402,0.27482,0.31738,0.3354,0.37748,0.4752,0.5823,0.67266,0.76726,0.860882,1.011711,0.910912,0.8546512
        Saint Helena,net generation,Africa,0.005,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.00837916,0.00767604,0.00789224,0.0080793,0.00731038,0.00849666,0.008393,0.008930152
        Sao Tome and Principe,net generation,Africa,0.028,0.024,0.03,0.031,0.035,0.039,0.04,0.043,0.045,0.049,0.054,0.056,0.061,0.067,0.072,0.078,0.082,0.085,0.087,0.0899,0.0951,0.1005464
        Senegal,net generation,Africa,1.44,1.689,1.794,1.904,1.995,2.275,2.281,2.46748,2.587,2.65786,2.81858,2.86534,3.16248,3.30144,3.63756,3.88164,4.17114,4.47188,4.66082,5.17598,5.233902475,5.615708528
        Seychelles,net generation,Africa,0.178,0.18,0.205,0.21,0.212,0.217,0.237,0.255,0.253,0.259,0.283,0.377,0.39,0.409,0.41925,0.435572,0.46631,0.483102,0.48858,0.535894,0.5962,0.6431768
        Sierra Leone,net generation,Africa,0.089,0.131,0.148,0.135,0.112,0.078,0.039,0.057,0.058,0.06,0.163,0.172,0.173,0.16,0.181844,0.196022,0.209584,0.218866,0.254672,0.207708,0.20681017,0.207889733
        Somalia,net generation,Africa,0.235,0.245,0.258,0.263,0.263,0.273,0.282,0.292,0.301,0.305,0.307,0.31,0.324,0.334,0.3341,0.3352,0.342,0.3472,0.3472,0.3462,0.3802,0.40788
        South Africa,net generation,Africa,195.82886,196.28928,203.2381,217.20568,227.5277,227.92804,235.4471,245.56207,239.68607,230.64077,241.98442,243.45328,239.86604,237.53878,235.54795,230.81604,234.47229,236.33738,235.64056,232.99074,220.12096,221.4995447
        South Sudan,net generation,Africa,--,--,--,--,--,--,--,--,--,--,--,--,0.41842,0.4438,0.45884,0.54344,0.48986,0.50966,0.5552,0.56366,0.53568,0.56932352
        Sudan,net generation,Africa,2.574,2.843,3.092,3.341,3.454,3.803,4.458,4.9408,5.39742,6.415,7.49518,8.39572,9.32998,10.23186,11.26822,12.81638,14.10332,15.2273,15.90455,16.31026,16.47127864,16.59542448
        Tanzania,net generation,Africa,2.439,2.718,2.82,2.627,2.838,3.43,3.312,4.058,4.256,4.657,5.15612,5.01124,5.4772,5.77572,6.08866,6.5569,6.97612,7.01072,7.22022,7.59084,8.005382814,8.168690514
        Togo,net generation,Africa,0.17,0.119,0.147,0.172,0.179,0.181,0.209,0.17936,0.1182,0.138,0.16938,0.12158,0.10468,0.09299,0.20252,0.37334,0.43244,0.7703,0.56982,0.70056,0.588150458,0.625065047
        Tunisia,net generation,Africa,9.964,10.714,11.135,11.676,12.293,12.976,13.281,12.92112,13.50536,14.34644,14.95458,15.33848,16.79978,17.0767,17.8685,18.35076,18.48988,19.17152,19.5234,20.53774,19.57393591,20.92347402
        Uganda,net generation,Africa,1.587,1.583,1.712,1.8,1.937,1.953,1.5705572,1.964,2.314,2.399,2.68961,2.61412,1.9574,2.59183,2.80655,2.86793,3.77268,3.91354,4.31537,4.31865,4.44987172,4.40101286
        Western Sahara,net generation,Africa,0.08,0.08,0.085,0.085,0.085,0.085,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0
        Zambia,net generation,Africa,7.757,7.9,8.107,8.261,8.458,8.886,9.666,9.6042,9.4912,9.862,10.409304,11.447532,12.31092,13.231964,14.358504,13.359864,11.620963,14.434903,16.131655,14.660972,15.105044,17.714251
        Zimbabwe,net generation,Africa,6.738,7.582,8.263,8.539,9.411,9.035,7.68,7.35,7.387,7.112,8.44068,8.92854,8.92948,9.2557,9.70712,9.38778,6.82494,7.34946,9.187,8.230839,7.594009611,8.030893985
        Armenia,net generation,Eurasia,5.61848,5.5676,5.21526,5.21174,5.90414,5.97832,5.61744,5.584465,5.46643,5.37776,6.17572,7.0706,7.62206,7.30562,7.33366,7.39094,6.95114,7.36168,7.38726,7.30447,7.44504,7.32438676
        Azerbaijan,net generation,Eurasia,17.6541,17.89592,18.47162,20.13104,20.48172,20.09546,22.32042,20.65402,20.45634,17.85152,17.76022,19.20992,21.69998,22.03526,23.32006,23.30046,23.56828,22.96136,23.82038,24.60663,24.37144,26.299773
        Belarus,net generation,Eurasia,24.53656,23.56102,24.86938,25.03106,29.33944,29.1073,29.84608,29.8717,32.90438,28.48172,32.79164,30.25188,28.92924,29.60146,32.63418,32.0097,31.5473,32.45526,36.65996,37.6835,36.2109,43.86748389
        Former U.S.S.R.,net generation,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Georgia,net generation,Eurasia,7.27116,6.7983,7.1596,7.05696,6.8115,7.14314,7.11568,8.17316,8.30354,8.41524,9.98458,9.97676,9.47468,9.86872,10.16584,10.60526,11.34684,11.30502,11.9221,11.59728,11.16,12.645
        Kazakhstan,net generation,Eurasia,48.62142,53.84944,55.28588,60.46554,63.33072,64.16854,67.74666,72.41138,75.88098,74.33214,78.08956,81.78582,87.63838,97.31006,90.01284,86.69606,89.61752,97.599,101.830574,102.471039,98.54476087,104.4782558
        Kyrgyzstan,net generation,Eurasia,15.708,14.66164,12.84006,15.3174,16.03792,14.637,14.275,14.577,11.588,10.929,11.92948,14.95586,14.96666,13.85516,14.36256,12.8032,13.04092,15.29334,15.3094,14.84014,16.174,14.461936
        Moldova,net generation,Eurasia,5.307,5.636,5.764,5.952,5.799,5.972,6.08,5.883,6.018,6.194,6.111,5.782,5.799,4.508,5.378,6.049,5.852,4.962,5.38824,5.69599,6.181,6.6568
        Russia,net generation,Eurasia,832.944,842.446,846.084,868.008,885.454,901.02176,941.65068,960.14694,984.17081,939.5156,982.56224,998.47541,1013.95248,1003.59126,1007.4473,1010.03494,1033.16006,1036.282948,1046.83945,1062.86856,1044.284104,1109.689916
        Tajikistan,net generation,Eurasia,13.983,14.229,15.142,16.336,16.319,16.92,16.768,17.323,16.989,15.958,16.2689,16.07372,16.80056,16.94136,15.9904,16.98228,17.03,17.88414,19.47718,20.58658,19.7338,19.72368
        Turkmenistan,net generation,Eurasia,9.255,9.974,10.058,10.152,11.205,12.051,12.831,13.98738,14.13778,15.024,15.6634,16.1898,16.688,17.7408,19.179,21.18496,21.18496,21.185114,21.185154,21.185154,20.11469132,21.40182971
        Ukraine,net generation,Eurasia,159.885,163.038,163.645,169.977,172.535,175.293,182.323,185.065861,181.58,163.765,178.2679,183.83,187.01548,182.33684,171.37686,152.4034,153.58546,145.66706,150.20788,143.83374,145.02182,150.0395
        Uzbekistan,net generation,Eurasia,44.323,44.949,46.661,46.817,47.404,46.974,43.907,44.607,40.2006,44.6008,49.26602,49.92094,50.1503,51.627216,52.722766,54.551956,56.004223,58.06589,59.424857,60.11528,55.94145423,59.20353494
        Albania,net generation,Europe,4.68336,3.64778,3.64056,5.21758,5.5426,5.3848,5.03842,2.82768,3.8311,5.20187,7.49277,4.14694,4.67865,6.89041,4.67776,5.83705,7.70618,4.48075,8.46748,5.17594,5.313,8.962943
        Austria,net generation,Europe,57.92042,58.93718,58.4038,55.50484,59.30708,61.30282,59.45448,60.17314,61.97422,63.583,63.937654,58.36573,64.742413,60.802337,57.646226,58.069497,61.732328,63.467831,61.2203869,68.8018868,67.7389039,64.2269678
        Belgium,net generation,Europe,77.99376,74.06752,76.282,78.76056,79.49996,80.61608,79.3191,82.41244,78.76178,84.84878,91.002351,86.160664,79.344337,79.545951,69.431713,66.970488,82.053225,82.77065,71.8065043,89.9204609,85.690887,94.8636857
        Bosnia and Herzegovina,net generation,Europe,10.0579,10.25858,10.40098,10.8151,12.26306,12.14576,12.80288,11.27702,14.17664,15.04026,16.49812,14.58342,13.44898,16.7691,15.4965,14.97832,16.98653,15.38966,18.20808,16.65445,15.69252,17.36192136
        Bulgaria,net generation,Europe,38.3182,40.65336,40.75548,39.52822,38.79962,41.2454,42.68836,40.251732,41.72358,39.63248,43.10972,46.73622,43.6861,40.46622,44.3295,44.079049,40.217008,40.431095,41.5053836,38.7389512,35.6656192,41.5291854
        Croatia,net generation,Europe,10.22004,11.65016,11.68252,12.02396,12.6961,11.88718,11.81644,11.50088,11.69966,12.23508,14.32912,10.7817,10.15614,13.53568,13.08606,10.742444,12.052593,11.293476,13.125812,12.2922931,12.7997589,14.6034781
